Selected	Gene Symbol	SPOT	Profile	4	8	16	32	48
	ABHD12	ID_75	35	0.00	62.51	-68.84	82.53	24.81
	ABHD12B	ID_76	8	0.00	-4.42	-6.03	-5.69	-6.82
	ABHD13	ID_77	34	0.00	93.60	-87.08	199.61	0.15
	ABHD14A	ID_78	20	0.00	-53.17	-117.70	-27.85	-72.35
	ABHD14B	ID_79	23	0.00	367.20	-1,708.73	1,440.82	178.26
	ABHD15	ID_80	22	0.00	-326.75	-580.74	-15.16	-717.58
	ABHD16A	ID_81	11	0.00	-77.48	-82.79	109.02	-22.19
	ABHD17A	ID_83	23	0.00	87.81	-112.51	476.33	335.08
	ABHD17B	ID_84	41	0.00	17.44	172.27	372.33	413.99
	ABHD17C	ID_85	43	0.00	201.12	388.07	300.43	351.04
	ABHD2	ID_86	18	0.00	-690.87	1,295.27	534.91	1,209.63
	ABHD3	ID_87	29	0.00	4.96	2.58	16.21	1.41
	ABHD4	ID_88	41	0.00	60.94	141.94	159.32	392.48
	ABHD5	ID_89	14	0.00	-2.09	-0.72	165.76	183.53
	ABHD6	ID_90	11	0.00	-335.65	-210.93	439.83	32.35
	ABHD8	ID_91	10	0.00	-0.42	-18.30	-3.58	3.08
	ABI1	ID_92	24	0.00	34.22	60.91	-84.97	-53.05
	ABI2	ID_93	2	0.00	-72.51	-14.24	-135.27	-140.27
	ABI3	ID_94	0	0.00	-67.53	-60.01	-82.88	-31.52
	ABL1	ID_95	24	0.00	-102.96	-65.09	-538.86	-473.70
	ABL2	ID_96	9	0.00	-27.45	4.00	-112.06	-155.80
	ABLIM2	ID_97	22	0.00	-0.25	-6.77	0.98	-8.21
	ABLIM3	ID_98	17	0.00	30.03	400.78	426.41	-179.77
	ABO	ID_99	2	0.00	-10.18	-4.56	-7.57	-7.86
	ABR	ID_101	27	0.00	12.87	158.73	-34.24	10.23
	ABRA	ID_102	9	0.00	-0.49	-1.97	-2.76	-2.76
	ABRACL	ID_103	42	0.00	58.15	154.68	60.50	67.74
	ABT1	ID_104	11	0.00	-37.86	-56.91	53.97	9.14
	ABTB1	ID_105	23	0.00	50.88	-167.51	96.34	125.58
	ABTB2	ID_106	20	0.00	27.77	-383.27	-27.30	-88.23
	AC1576	ID_107	39	0.00	223.53	50.22	852.45	510.12
	ACAA1A	ID_108	29	0.00	-122.96	246.90	2,686.09	-281.05
	ACAA1B	ID_109	40	0.00	850.60	2,663.76	1,115.49	-1,088.84
	ACAA2	ID_110	26	0.00	-1,062.28	-486.41	12,578.79	-9,216.41
	ACACA	ID_111	33	0.00	824.19	385.87	111.95	7,442.03
	ACACB	ID_112	33	0.00	114.89	-85.40	-349.11	3,839.99
	ACAD10	ID_113	26	0.00	146.43	41.75	242.71	-192.83
	ACAD11	ID_114	22	0.00	-2,507.32	-3,655.37	484.70	-5,465.50
	ACAD9	ID_115	32	0.00	36.31	-183.88	-68.72	16.83
	ACADL	ID_116	29	0.00	-131.13	923.74	3,534.28	-1,260.20
	ACADM	ID_117	26	0.00	3,405.24	1,227.26	6,768.31	-2,406.77
	ACADS	ID_118	11	0.00	-140.20	-496.80	940.01	-150.89
	ACADSB	ID_119	31	0.00	220.02	-861.75	-269.65	-522.02
	ACADVL	ID_120	4	0.00	-1,405.18	-1,473.32	1,215.21	-1,802.56
	ACAN	ID_121	10	0.00	-1.38	-1.38	-1.38	0.07
	ACAP1	ID_122	6	0.00	-5.10	6.85	11.91	33.63
	ACAP2	ID_123	27	0.00	4.17	176.08	-267.26	-63.11
	ACAP3	ID_124	1	0.00	-91.88	-108.53	-102.31	-106.65
	ACAT1	ID_125	13	0.00	-2,440.65	-943.07	-678.56	-4,212.76
	ACAT2	ID_126	33	0.00	70.42	12.86	77.07	327.86
	ACBD3	ID_127	27	0.00	-28.12	205.94	-247.98	-5.09
	ACBD4	ID_128	10	0.00	-18.87	-318.66	-0.53	287.03
	ACBD5	ID_129	19	0.00	37.27	-610.39	-542.35	-484.17
	ACBD6	ID_130	26	0.00	-38.08	-19.79	94.10	-66.81
	ACCS	ID_131	48	0.00	44.18	24.97	32.19	53.51
	ACCSL	ID_132	36	0.00	0.40	0.28	-0.69	0.46
	ACD	ID_133	39	0.00	22.18	-0.50	128.45	71.88
	ACE	ID_134	15	0.00	-50.30	31.51	-39.44	-33.79
	ACE2	ID_135	23	0.00	0.75	-2.34	8.60	3.98
	ACER2	ID_136	16	0.00	-76.42	307.81	3.52	39.96
	ACHE	ID_137	18	0.00	-3.35	8.42	18.59	10.00
	ACIN1	ID_138	0	0.00	-231.88	-299.22	-476.38	-329.40
	ACKR2	ID_139	9	0.00	-100.07	-157.39	-175.98	-198.91
	ACKR3	ID_140	27	0.00	-13.67	38.45	-18.40	3.86
	ACLY	ID_141	33	0.00	942.12	604.82	1,611.56	26,397.07
	ACMSD	ID_142	33	0.00	227.91	-43.75	3.44	721.93
	ACNAT2	ID_143	35	0.00	4,328.75	461.03	5,315.05	3,688.84
	ACO1	ID_144	34	0.00	577.55	97.07	949.28	-272.74
	ACO2	ID_145	26	0.00	-639.00	-820.98	1,148.31	-1,381.09
	ACOT1	ID_146	15	0.00	-81.68	526.15	-13.73	-152.12
	ACOT11	ID_147	40	0.00	2.58	6.43	1.49	0.43
	ACOT12	ID_148	26	0.00	-180.30	-1,740.58	4,481.14	-1,791.27
	ACOT13	ID_149	0	0.00	-135.44	-229.64	-219.21	-172.97
	ACOT2	ID_150	17	0.00	-805.87	1,983.53	1,445.76	-1,175.22
	ACOT3	ID_151	13	0.00	-366.00	135.13	293.72	-671.99
	ACOT4	ID_152	26	0.00	-818.92	-279.81	1,261.70	-1,337.20
	ACOT5	ID_153	11	0.00	-64.99	-49.05	365.46	161.63
	ACOT6	ID_154	8	0.00	-0.79	-1.88	-1.88	-1.88
	ACOT7	ID_155	29	0.00	8.42	168.79	518.84	64.54
	ACOT8	ID_156	1	0.00	-131.39	-131.61	-26.88	-87.57
	ACOT9	ID_157	42	0.00	-2.62	128.49	-16.11	37.47
	ACOX1	ID_158	13	0.00	-4,169.40	4,305.20	5,090.26	-9,595.09
	ACOX2	ID_159	8	0.00	-3,243.99	-8,970.28	-4,707.04	-5,007.88
	ACOX3	ID_160	23	0.00	-271.57	-1,203.76	1,368.75	1,052.50
	ACP1	ID_162	44	0.00	64.90	-57.48	-135.72	-181.00
	ACP2	ID_163	10	0.00	-205.39	-844.89	-93.76	205.75
	ACP5	ID_164	39	0.00	73.82	66.23	136.80	111.07
	ACP6	ID_165	23	0.00	-36.76	-157.80	32.97	78.96
	ACPP	ID_166	25	0.00	-93.60	-81.78	-219.35	37.09
	ACPT	ID_167	28	0.00	1.85	2.56	1.27	6.18
	ACR	ID_168	28	0.00	-0.71	0.41	-0.16	1.94
	ACRBP	ID_169	10	0.00	-2.87	-9.94	-2.21	8.81
	ACSBG1	ID_171	8	0.00	-67.46	-117.97	-80.75	-64.11
	ACSF2	ID_173	1	0.00	-726.24	-1,167.88	-537.79	-1,009.17
	ACSL1	ID_174	34	0.00	5,988.29	-19,867.21	34,141.12	-5,932.88
	ACSL3	ID_175	47	0.00	241.33	364.49	-19.86	104.28
	ACSL4	ID_176	35	0.00	4,346.15	-2,808.70	5,342.31	3,731.54
	ACSL5	ID_177	33	0.00	6.37	-415.60	153.87	6,870.46
	ACSM1	ID_178	20	0.00	1,074.45	-4,359.87	670.34	-1,870.80
	ACSM2A	ID_179	6	0.00	-21.37	134.24	728.68	2,164.99
	ACSM3	ID_180	20	0.00	-77.20	-549.77	-96.32	-164.23
	ACSM4	ID_181	44	0.00	4.51	3.52	-2.07	-4.05
	ACSM5	ID_182	29	0.00	-193.38	6,792.65	11,575.94	3,457.03
	ACSS1	ID_183	10	0.00	-26.33	-34.44	-24.60	-11.96
	ACSS2	ID_184	33	0.00	-92.92	-368.30	162.52	3,051.29
	ACSS3	ID_185	34	0.00	245.21	-229.15	604.00	-151.84
	ACTA1	ID_186	15	0.00	-1.88	1.01	-0.97	-1.88
	ACTA2	ID_187	16	0.00	-61.75	209.06	-21.88	9.28
	ACTB	ID_188	27	0.00	1,141.55	11,652.21	-3,636.65	-967.61
	ACTBL2	ID_189	40	0.00	1.09	2.37	0.00	0.00
	ACTG1	ID_190	15	0.00	-476.94	10,187.67	-1,126.75	321.11
	ACTG2	ID_191	3	0.00	-28.39	-14.28	-23.53	-14.08
	ACTL6A	ID_192	43	0.00	37.37	62.12	77.53	64.04
	ACTL6B	ID_193	23	0.00	0.34	-0.76	0.60	0.98
	ACTL7A	ID_194	28	0.00	-0.03	2.07	-0.81	9.71
	ACTL7B	ID_195	23	0.00	0.92	-0.82	1.16	3.03
	ACTN1	ID_196	27	0.00	-92.02	184.84	-278.46	-122.45
	ACTN2	ID_197	23	0.00	0.50	-6.90	5.74	6.37
	ACTN3	ID_198	2	0.00	-9.89	-3.10	-8.04	-10.06
	ACTN4	ID_199	28	0.00	454.23	903.74	-68.95	1,557.27
	ACTR10	ID_200	23	0.00	46.42	-25.31	88.06	75.33
	ACTR1A	ID_201	14	0.00	-52.37	55.59	267.97	151.02
	ACTR1B	ID_202	43	0.00	284.05	680.44	866.99	565.79
	ACTR2	ID_203	38	0.00	413.35	629.51	511.13	680.90
	ACTR3	ID_204	43	0.00	285.74	876.14	646.75	714.85
	ACTR3B	ID_205	42	0.00	0.74	6.49	3.63	5.62
	ACTR5	ID_206	6	0.00	-16.27	-17.12	10.90	22.74
	ACTR6	ID_207	9	0.00	-4.91	-17.89	-16.89	-21.34
	ACTR8	ID_208	32	0.00	21.70	-33.70	19.51	41.21
	ACTRT3	ID_209	25	0.00	-0.09	-1.48	-2.27	2.08
	ACVR1	ID_210	24	0.00	-40.42	21.51	-146.46	-96.14
	ACVR1B	ID_211	1	0.00	-53.02	-67.80	-50.35	-98.78
	ACVR1C	ID_212	31	0.00	97.51	-80.83	-14.99	-63.49
	ACVR2A	ID_213	9	0.00	-55.40	-218.14	-260.55	-286.87
	ACVR2B	ID_214	2	0.00	-26.45	-28.24	-31.56	-33.16
	ACVRL1	ID_215	25	0.00	-18.47	-11.27	-19.59	8.76
	ACY1	ID_216	20	0.00	150.11	-622.43	373.54	39.04
	ACY3	ID_217	35	0.00	256.27	40.49	282.37	492.97
	ACYP1	ID_218	39	0.00	31.51	14.32	77.66	85.93
	ACYP2	ID_219	14	0.00	-9.53	-1.86	42.73	32.16
	ADA	ID_220	2	0.00	-16.62	-13.20	-16.81	-14.87
