,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Otub2,372.63389450313,1.85387902487032,0.210058998289586,8.82551587870839,1.08956383468071e-18,1.2489670236945e-14
Gpam,4825.64713626181,2.65017213969731,0.332764511494378,7.96410689287727,1.66421351180637e-15,9.53843974291824e-12
LOC257642,24371.3167914363,-2.20301130310935,0.290800305120276,-7.57568429028359,3.57239594568632e-14,1.36501249084674e-10
Map1b,183.335445612507,-3.59131804203034,0.479764782270508,-7.48558079864527,7.12314187831781e-14,2.04131438377893e-10
Abcg5,458.318938256554,-3.89527912085007,0.524661175294977,-7.42437082114959,1.13317275747325e-13,2.59791186378317e-10
Nrep,276.553926124577,-4.06898857116443,0.56025878964145,-7.26269475177439,3.79453600087516e-13,7.24946102967199e-10
Pus7,280.691220797455,-1.0694731817167,0.147933832360054,-7.22940225812392,4.85124510807089e-13,7.9442603819738e-10
Tmem252,110.203989827627,2.3964756966361,0.334131993006977,7.17224254723211,7.37790754757051e-13,1.05716192772251e-09
C1qtnf3,24.7785211615726,-5.56630027496716,0.78093521636433,-7.12773628122606,1.02033026229281e-12,1.29956064407361e-09
Kank2,1698.44241783386,0.981639785935191,0.139430222452825,7.04036591684646,1.917356372985e-12,2.19786561035271e-09
Dlat,874.96101430397,1.05748711042245,0.151537661995334,6.97837815694298,2.98607021436836e-12,2.98759774252043e-09
Hacl1,8043.42370955136,-2.318598844078,0.332878091736216,-6.96530922772574,3.27683187442263e-12,2.98759774252043e-09
Sorcs2,91.0425986391925,2.54930321479392,0.366247449509094,6.96060332491302,3.38818552322827e-12,2.98759774252043e-09
Mup5,41.7741408560375,-4.03060968829081,0.619786995645331,-6.50321758379923,7.86199499666308e-11,6.43728918905349e-08
Itga5,1430.2024337762,0.996577410511358,0.154534078948577,6.44891675216171,1.12652416426224e-10,8.60889766329203e-08
Dab1,105.627781276034,-1.87315777245081,0.293166451393581,-6.38940016344525,1.66537724932124e-10,1.19313871306059e-07
Ivns1abp,2723.92327290969,-0.980651896872045,0.154143928013317,-6.36192362236498,1.9924251839647e-10,1.34348058139926e-07
Omd,465.293756458647,-1.805740399866,0.284713564662627,-6.34230547464685,2.26351926619562e-10,1.44148451935558e-07
LOC100361444,1366.23774027312,2.15719504873799,0.347916445113047,6.20032504654115,5.63466655171216e-10,3.39948329906718e-07
Hdac2,813.340485453366,-0.708286341366751,0.114841538111919,-6.16751005787199,6.93737014780771e-10,3.97615370021599e-07
P2rx5,44.4826529323989,3.81330286397299,0.621011016751771,6.14047538789031,8.22748823869442e-10,4.49103322286448e-07
Wdr91,512.514622195261,1.14636161293984,0.187893048647561,6.10113903197194,1.05315249911698e-09,5.48740322608088e-07
Il17rb,441.234947749344,2.2073073279588,0.36519167846191,6.04424322387463,1.50112914618724e-09,7.48149713162797e-07
Ypel2,775.354543421467,1.39379937989863,0.230941478303901,6.03529253443377,1.58674970764285e-09,7.57871329112916e-07
Agpat6,1867.42411307538,-0.675319597288036,0.115215172735625,-5.86137729305532,4.59043631873372e-09,2.10480686086578e-06
LOC299282,46692.4324279184,-2.46354556538379,0.428438156790355,-5.75006106794839,8.9211220103289e-09,3.93318544632309e-06
Agap3,499.170109706508,0.866291097664384,0.151117181077794,5.73257846318894,9.8915250985391e-09,4.05437898783846e-06
Aifm2,848.039598987148,1.05446124704146,0.183948402695196,5.73237512036845,9.90339454414001e-09,4.05437898783846e-06
Pik3c3,1075.6742751817,-0.951449714809612,0.166923364946075,-5.699919331946,1.19864133840974e-08,4.73793988351408e-06
Ddhd1,488.786533503782,1.9478485292685,0.345274188041221,5.64145423183489,1.68619865144884e-08,6.27546529941868e-06
Secisbp2l,3327.75906652764,0.642662338084864,0.113940273048641,5.6403440231402,1.69710742634545e-08,6.27546529941868e-06
Rfx6,126.282288405861,2.04097128979965,0.362982086673964,5.62278791358892,1.87900035056247e-08,6.7309315682805e-06
LOC298111,1291.83146226272,-9.65693892182836,1.72454621704275,-5.59969853309474,2.14724891090242e-08,7.45876189868922e-06
Phtf1,721.802076542504,-0.728620347711688,0.130684352311996,-5.57542150090151,2.46931238611485e-08,8.32521408295131e-06
Ptpn13,373.084750755467,-1.03972092146687,0.189146328642461,-5.49691304573103,3.86497156250751e-08,1.26583340060068e-05
Cyp2t1,481.170750902365,-0.667670405237667,0.121862092440302,-5.47890153424657,4.27974432359657e-08,1.36274192170521e-05
Heph,80.3468220290464,1.5281206420493,0.281215538117691,5.43398367059564,5.51096263497592e-08,1.70735580228997e-05
H2afy2,122.855926653125,1.24653580317426,0.231714377400002,5.37962217606549,7.46423243196972e-08,2.19391016327356e-05
Mapk9,3904.14558672123,0.698182353137713,0.129713989744942,5.38247535605493,7.34684379422121e-08,2.19391016327356e-05
RGD1565355,1740.82666488786,1.95721660130536,0.364625959788642,5.36773794833445,7.97302827732728e-08,2.28487057857507e-05
Ccnf,99.7243045807359,-2.68411292329426,0.503513441615543,-5.33076716816571,9.77987396044684e-08,2.7343096392342e-05
Ptk2b,516.760540357846,1.08053882522563,0.203433025022776,5.31152120018201,1.08713920839596e-07,2.96711351091497e-05
Wfdc21,4516.18589586523,3.65771840957476,0.692884771308024,5.27897070485434,1.29911570688965e-07,3.46320077862235e-05
LOC100360095,15216.6906626101,-3.38064144314082,0.644065560189887,-5.24890888769789,1.53002720583812e-07,3.98606860466416e-05
Abcg8,107.347607416211,-3.06057072808969,0.585781645254747,-5.22476378849101,1.74377570523494e-07,4.44197797980182e-05
