Ccr2
Ccr5
Map3k5
Map3k6
Scd1
Casp3
Khk
Acaca
Aoc3
Lgals3
Tlr4
Nr1h4
Fgf21
Ppara
Pparg
Ppard
Niacr1
Sirt1
