,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ddx3,2549.20942784776,-8.29288971854025,0.330242641285999,-25.1115049414784,3.72397136997978e-139,5.08992406848836e-135
LOC680227,216.06117090876,6.43365235712377,0.310276779865702,20.7352040971563,1.66746178685695e-95,1.13954338513804e-91
Eif2s3y,1001.16455930565,-8.73167447646242,0.561975919042927,-15.5374530839914,1.93522929751498e-54,8.81690467947826e-51
LOC100125368,1836.25547946973,-3.45688009527727,0.26173605833293,-13.2075042212185,7.94140773937551e-40,2.71357902454461e-36
Cyp4v3,5768.05434293256,-3.92745205384084,0.304418514639155,-12.9014887891963,4.41484524241859e-38,1.20684209546755e-34
Hhip,274.811863284742,-4.08136025255956,0.352408980843402,-11.5813173738985,5.12523167419489e-31,1.16752777538159e-27
Kifc3,371.270368473353,2.10461010385314,0.187915375686478,11.1997759425738,4.08766011331178e-29,7.98144834696363e-26
Cyp3a2,59190.0452974705,-7.51277333894826,0.677239647079405,-11.0932272960496,1.35316088165303e-28,2.3118753663042e-25
Cyp3a18,14535.5315141623,-3.89837426655331,0.379725383358412,-10.2662988501713,9.99665551521811e-25,1.51815875091112e-21
Cyp2t1,481.170750902365,-1.34049902133527,0.137672815717061,-9.73684611848286,2.09969920102526e-22,2.86986886796133e-19
Acnat2,9178.92778793691,-7.19924928534909,0.745787249816556,-9.65322119293393,4.7635428333271e-22,5.91891849508317e-19
Cyp2c11,45619.0032071542,-7.60087347593877,0.795685758029443,-9.5526071683911,1.26472682743126e-21,1.44052385644421e-18
Dab1,105.627781276034,-3.66613066795222,0.384946610224374,-9.52373802126828,1.67059292328322e-21,1.75643569811039e-18
Dcdc2,96.0184285142285,3.08039972422753,0.323737604283765,9.51511249687102,1.81516389375174e-21,1.77211857855705e-18
Sult1c3,5909.01377030917,-4.86471937270497,0.513014578138576,-9.48261429598382,2.47990701108214e-21,2.25969126849805e-18
LOC100360095,15216.6906626101,-6.84238859607979,0.722150035123737,-9.4750235592073,2.667005175916e-21,2.27828917152625e-18
Egfr,7429.08276259316,-2.29223028936669,0.246990080488116,-9.28065728322632,1.68436257757253e-20,1.35422751236831e-17
Ptk2b,516.760540357846,2.0003849518341,0.223040208580315,8.96871897926769,2.99982852566743e-19,2.27786979382347e-16
Cpq,4570.70254085381,-1.79177524007792,0.210541707791105,-8.51031018450595,1.73468665765262e-17,1.19771934928046e-14
Fetub,74495.3945605334,-2.21986168356797,0.260880299444931,-8.50911965484218,1.75258903904076e-17,1.19771934928046e-14
Ehd3,2387.11100298926,-1.11061988051539,0.131503177558694,-8.44557448065988,3.02553862460407e-17,1.96919342481374e-14
Vipr1,1261.03008944094,-1.47770297609755,0.176039565104068,-8.39415261690739,4.69266275823361e-17,2.91542338997895e-14
Mup4,1113.55320773924,-8.47994078498942,1.0218822820358,-8.29835386527658,1.0556384778596e-16,6.27324639799348e-14
Lrg1,452.672162213143,-2.20320134234896,0.265995050480488,-8.28286593441925,1.20245766909717e-16,6.84799642550841e-14
RGD1566134,60886.1312044755,-11.6584918141126,1.4148602837714,-8.24003044529323,1.72166839975051e-16,9.41270547511599e-14
Zc3h12d,73.8416394204331,3.30444706342657,0.404081297585145,8.17767880665222,2.89363853550745e-16,1.5211635193583e-13
Agpat9,266.57462623337,5.35693781841379,0.657696829536609,8.14499565428665,3.79295532544593e-16,1.92007827363685e-13
Anxa5,1141.40461608969,3.13252403892104,0.388089195384607,8.07166001057212,6.93487607972726e-16,3.26847883647283e-13
Xk,187.179248133199,-1.88634239139749,0.233603100910661,-8.07498866258161,6.74829157176257e-16,3.26847883647283e-13
LOC299282,46692.4324279184,-3.84909201959968,0.479089886582633,-8.03417506275369,9.42106010216387e-16,4.29223498254586e-13
Ccl2,74.084264531993,4.9978721895553,0.623409539901123,8.01699664453001,1.08362080629727e-15,4.77771909047456e-13
Abcc3,701.030619181809,2.77167865329436,0.347738643110461,7.97057994044662,1.5793146585173e-15,6.74564773519203e-13
Akr1c3,265.819219684878,-4.5141674223066,0.568199433806412,-7.94468835012004,1.94679611173549e-15,8.04214611836124e-13
Olr1,129.425954769677,4.52998936416283,0.570433353396561,7.94131222725613,2.00053386028887e-15,8.04214611836124e-13
Obp3,31833.5598083895,-10.6934067270994,1.35382789458597,-7.89864558845544,2.81950319380212e-15,1.10105627579678e-12
Cel,534.40537594473,8.63046277058118,1.09903897922594,7.85273582986082,4.07058485121664e-15,1.54546538184525e-12
Trim35,265.087603703561,1.19292106234431,0.152596736072343,7.81747429891797,5.38937281726424e-15,1.99086345044237e-12
Adgrg1,68.2011126144462,2.4325647313804,0.311927438794753,7.7984955115828,6.2649581182759e-15,2.2534065147525e-12
Hivep3,131.690504197902,1.57066771749535,0.203103703250413,7.73332879882956,1.0477023589012e-14,3.67179380550299e-12
Afm,20800.3003406788,-1.90871733298146,0.247793024733844,-7.70286950180145,1.3304421324699e-14,4.54612076664965e-12
Tox,57.7843765093012,4.92162955769646,0.64115102216109,7.67624067900166,1.63825197889536e-14,5.46137269452238e-12
Cela2a,230.298481434712,7.67514257385565,1.00390201669207,7.64531044488369,2.0844180994437e-14,6.78329204361822e-12
RGD1311739,151.42373158337,2.4270980047633,0.317652407550316,7.64073542990179,2.15984471352257e-14,6.8652924521922e-12
Il1rap,1672.53876709407,-1.06124457286247,0.139151657082151,-7.62653205226249,2.41152990390314e-14,7.4910888014882e-12
Dhrs7,5827.57804938883,-5.99249794496995,0.788729720671331,-7.59765707810454,3.01540100543656e-14,9.15877798717931e-12
Kank2,1698.44241783386,1.1758126876674,0.155662507681245,7.55360237466525,4.23381431188444e-14,1.25799508727906e-11
Espl1,52.1117040779743,2.52724136770908,0.337764602603089,7.48225642424368,7.30572178001225e-14,2.12456606998314e-11
Bcat1,42.1001423709723,5.07220649553401,0.679778678714522,7.46155573035283,8.55067809412106e-14,2.43480558730097e-11
Parm1,40.2146216535415,4.95593128092443,0.668123854365047,7.41768348569789,1.19186509071789e-13,3.32457388978206e-11
Cd44,305.647440427561,3.02570060165511,0.408532754786559,7.40626196113922,1.29909099670815e-13,3.55119514860139e-11
Lpin1,3439.95148986878,-2.37951548409783,0.32143880434149,-7.40270139124174,1.33441594476712e-13,3.57623473197588e-11
Abcc1,207.468089471194,1.61417250430648,0.218292321466001,7.39454550423977,1.41892758960513e-13,3.72959659513901e-11
Ehf,40.4996855360375,2.95930214869301,0.407058372195922,7.26996998668452,3.59567379670905e-13,9.27276782139987e-11
Rnd1,174.046082785464,4.02492111647817,0.554466028768164,7.25909416924997,3.89691117628958e-13,9.74054763263776e-11
Tfcp2l1,420.913292118067,2.30808697373859,0.317992383652785,7.25830897968543,3.91959408688233e-13,9.74054763263776e-11
Cd163,2196.54164789981,-2.74103313682429,0.378555234183036,-7.24077463290065,4.46129208557448e-13,1.08887393260057e-10
Vamp7,1159.14607617405,-1.10630181923512,0.153414752191495,-7.21118278022059,5.546793909476e-13,1.33006279218803e-10
Nrp2,747.920593233545,2.09192939744047,0.290279978279231,7.20659209719301,5.73695268419288e-13,1.35194257392325e-10
Cyp2j3,2683.56973951295,-1.99399619558243,0.27760605452593,-7.18282675422043,6.82846083456564e-13,1.58188818113293e-10
Lppr1,75.0560525631797,-5.03320665087333,0.704135189659474,-7.14806861635113,8.80073215736752e-13,2.00480678544832e-10
Ctrl,47.1823255664352,7.4719368103702,1.04663591520139,7.13900287755029,9.40103666204016e-13,2.10644867371746e-10
Cpa2,148.351726404999,8.09419785881797,1.13569203843586,7.12710627959122,1.02500947873034e-12,2.25964992827199e-10
Sctr,63.2186172232759,2.58691934216145,0.3631275702049,7.12399595740348,1.04842119923608e-12,2.27457475415217e-10
Vsig4,1081.1413242914,-2.64057641563144,0.372107812126684,-7.09626707523265,1.28171677670318e-12,2.73726639124673e-10
Klkb1,8145.43295553863,-2.14315140816073,0.302814816363631,-7.07743245161147,1.46849730599627e-12,3.08791095051646e-10
Mrc1,4117.19274151667,-1.11397714555438,0.158345409528283,-7.03510855712808,1.9910592540291e-12,4.12330270970754e-10
A1i3,421622.230184975,-2.38251926399675,0.339073149527991,-7.02656423050113,2.11681159156299e-12,4.31829564678849e-10
Fabp4,286.530440379815,3.82093585383823,0.544493811371945,7.0174091496297,2.26020026489226e-12,4.54300253243343e-10
Mug2,34796.1899487918,-2.0641201423869,0.294814378745705,-7.00142289927906,2.53375855534683e-12,5.01904520789573e-10
Paqr8,62.1416163975153,2.3753252584202,0.340637225050941,6.97318168343164,3.09852046032317e-12,6.05008252167101e-10
Igf1,13970.2650705976,-1.80821742454177,0.259872334101603,-6.95809898653857,3.44894861015691e-12,6.639468958257e-10
Slc20a1,1360.24517363017,2.48505227273215,0.357497054259125,6.95125244565207,3.62057306075437e-12,6.87305452699871e-10
Thbs1,503.941529441217,2.47411873892088,0.356145896886175,6.94692473099476,3.73334755207716e-12,6.99005401942337e-10
C2cd5,409.542831522896,0.972468744418815,0.140165578798867,6.93799970543608,3.97690547069711e-12,7.34545188830921e-10
Itgb6,22.7065602336836,3.36968667395684,0.485922318494139,6.93462009400889,4.07314261632398e-12,7.42289510398882e-10
Prss8,48.4154179198234,3.88813009851048,0.562323183403601,6.91440476449256,4.69831914276817e-12,8.44955605833624e-10
Apbb1,59.4892826749506,1.91242156809515,0.277140347554985,6.9005526801388,5.18006069488483e-12,9.19494410099816e-10
Tmed4,735.783689713392,-0.618288114619762,0.089838262205861,-6.8822359141696,5.89203279072924e-12,1.0324654382524e-09
Sorcs2,91.0425986391925,2.76714661351467,0.402661169119875,6.87214667250636,6.3242878130653e-12,1.09418184593641e-09
Gpld1,6071.78606097875,-1.31916584527388,0.192466968144455,-6.85398568903412,7.18202698182557e-12,1.2270493098449e-09
Mapk4,24.0234625069771,4.84515745716364,0.707094561442585,6.8522058029675,7.27198333009562e-12,1.22707985377465e-09
Krt19,69.1071787139076,3.03962518626025,0.444647116596255,6.83603935077414,8.1412589416714e-12,1.35700886847274e-09
Igf2r,3601.91801958725,0.781916551981188,0.115168387273584,6.78933317112214,1.12653014158985e-11,1.8551101175e-09
Trpm3,234.745546390039,-3.21334306128561,0.473438024385029,-6.78725175372125,1.14289677369828e-11,1.85965632177477e-09
Slc7a1,53.6544775030681,3.45890011714117,0.509893406556844,6.78357490538675,1.17237963053299e-11,1.88518644589705e-09
Podxl,287.366605008613,1.15321509234916,0.170445343379287,6.76589380199694,1.32488702743187e-11,2.1056460338301e-09
Fmo3,9405.76311125965,-1.91525341095159,0.283659969288039,-6.75193407007236,1.45887171900133e-11,2.29193777647243e-09
Sh2d4a,1148.27585524215,-1.74335018877808,0.259813673111606,-6.71000170198587,1.94622144051665e-11,3.02283575556609e-09
Tubb6,235.667681070648,3.45858937821338,0.516041315040425,6.70215596583084,2.05366664610223e-11,3.15387817066576e-09
Emp1,222.318220971272,2.63635498124752,0.393907206697695,6.69283256670853,2.18891544810049e-11,3.32423292718195e-09
Tspan8,64.0817397230984,2.39016784040179,0.357266627411474,6.69015143597211,2.22939770602291e-11,3.34850635669463e-09
Cgref1,73.1339298128793,3.94683072723212,0.591515874414405,6.67240034959239,2.51652926025345e-11,3.73868716621133e-09
Pnp,4537.04220424812,-0.84271676017958,0.126361570871111,-6.66909056582682,2.57393388691094e-11,3.78285251250525e-09
Nox4,451.395778833936,-5.49425237910563,0.824589141142002,-6.66301810801977,2.68260593666739e-11,3.9006231853585e-09
Gls2,4999.29346398479,-2.37924581507637,0.357408379990805,-6.65693908782323,2.79588988627449e-11,4.0225497858526e-09
Timp3,750.408470778019,2.6167757125763,0.393624926215999,6.64789127490459,2.97321793403158e-11,4.23311903357746e-09
Myh14,157.925009944679,2.67662163574321,0.403028072340077,6.64127841071245,3.10974000559594e-11,4.38184808211189e-09
Tm9sf1,1217.62395030735,-0.436980023900338,0.0659509843499812,-6.6258302011297,3.45301916507295e-11,4.81590468859358e-09
Ugt1a2,186.572303537409,3.38372034783317,0.511880601138596,6.61037034868411,3.83359738403132e-11,5.29268778231718e-09
Cyp2a2,7168.62285808358,-5.58433537487134,0.84648201416095,-6.59711048959102,4.1924832445708e-11,5.73028609867937e-09
Hivep2,294.308601421148,1.65150901367809,0.250480953822053,6.59335166398063,4.30006378506765e-11,5.81913582319847e-09
