Metabolic pathways,1.68E-15,14.77474978
mitochondrion,2.54E-11,10.5944318
Oxidoreductase,1.77E-15,14.75234013
oxidation-reduction process,3.24E-13,12.48879847
Glycoprotein,4.43E-09,8.353305539
Metal-binding,4.98E-09,8.302430974
Phosphoprotein,3.37E-06,5.471807946
high-density lipoprotein particle,1.42E-05,4.847321252
Bile secretion,1.82E-05,4.740788104
"Cytochrome P450, conserved site",2.51E-05,4.600257229
Transport,2.41E-05,4.618187895
fatty acid metabolic process,4.28E-05,4.368301078
Lipid metabolism,3.11E-04,3.507875452
Fatty acid metabolism,6.51E-04,3.186457992
endoplasmic reticulum,0.016449837,1.78383841
