Category,Term,PValue,LogPvalue,dir
GOTERM_BP_DIRECT,GO:0055114~oxidation-reduction process,8.08E-19,18.0926537,down
GOTERM_BP_DIRECT,GO:0006631~fatty acid metabolic process,6.03E-07,6.21963181,down
GOTERM_BP_DIRECT,GO:0008202~steroid metabolic process,1.38E-06,5.86076388,down
GOTERM_BP_DIRECT,GO:0006641~triglyceride metabolic process,1.70E-06,5.77066495,down
GOTERM_BP_DIRECT,GO:0008203~cholesterol metabolic process,1.43E-04,3.84329463,down
GOTERM_BP_DIRECT,GO:0051384~response to glucocorticoid,1.89E-04,3.7234576,down
