Category,Term,PValue,log
GOTERM_BP_DIRECT,GO:0006810~transport,7.47E-05,4.126631439
GOTERM_BP_DIRECT,GO:0001561~fatty acid alpha-oxidation,7.73E-04,3.111976771
GOTERM_BP_DIRECT,GO:0035356~cellular triglyceride homeostasis,0.001603814,2.794846114
GOTERM_BP_DIRECT,GO:0042632~cholesterol homeostasis,0.019376176,1.712731927
GOTERM_BP_DIRECT,GO:0030522~intracellular receptor signaling pathway,0.034679527,1.459926841
